t,tau_R
5.2849999999999095,inf
5.289999999999909,inf
5.294999999999909,inf
5.299999999999909,inf
5.304999999999909,inf
5.309999999999909,inf
5.314999999999909,inf
5.319999999999909,inf
5.324999999999909,0.05
5.329999999999909,inf
5.3349999999999085,0.05
5.339999999999908,inf
5.344999999999908,inf
5.349999999999908,inf
5.354999999999908,inf
5.359999999999908,inf
5.364999999999908,inf
5.369999999999908,0.05
5.374999999999908,inf
5.3799999999999075,inf
5.384999999999907,inf
5.389999999999907,inf
5.394999999999907,0.05
5.399999999999907,inf
5.404999999999907,inf
5.409999999999907,inf
5.414999999999907,0.05
5.419999999999907,inf
5.424999999999907,0.05
5.4299999999999065,inf
5.434999999999906,inf
5.439999999999906,inf
5.444999999999906,inf
5.449999999999906,0.05
5.454999999999906,inf
5.459999999999906,inf
5.464999999999906,inf
5.469999999999906,inf
5.4749999999999055,inf
5.479999999999905,inf
5.484999999999905,0.05
5.489999999999905,inf
5.494999999999905,inf
5.499999999999905,inf
5.504999999999905,0.05
5.509999999999905,inf
5.514999999999905,0.05
5.5199999999999045,0.05
5.524999999999904,inf
5.529999999999904,0.05
5.534999999999904,inf
5.539999999999904,0.05
5.544999999999904,inf
5.549999999999904,inf
5.554999999999904,inf
5.559999999999904,inf
5.564999999999904,inf
5.5699999999999035,inf
5.574999999999903,inf
5.579999999999903,inf
5.584999999999903,0.05
5.589999999999903,inf
5.594999999999903,inf
5.599999999999903,0.05
5.604999999999903,inf
5.609999999999903,inf
5.6149999999999025,inf
5.619999999999902,inf
5.624999999999902,inf
5.629999999999902,inf
5.634999999999902,inf
5.639999999999902,inf
5.644999999999902,inf
5.649999999999902,inf
5.654999999999902,inf
5.6599999999999016,0.05
5.6649999999999014,inf
5.669999999999901,inf
5.674999999999901,inf
5.679999999999901,inf
5.684999999999901,inf
5.689999999999901,inf
5.694999999999901,inf
5.699999999999901,inf
5.704999999999901,inf
5.7099999999999005,inf
5.7149999999999,inf
5.7199999999999,inf
5.7249999999999,inf
5.7299999999999,inf
5.7349999999999,inf
5.7399999999999,inf
5.7449999999999,inf
5.7499999999999,inf
5.7549999999998995,0.05
5.759999999999899,inf
5.764999999999899,inf
5.769999999999899,inf
5.774999999999899,inf
5.779999999999899,inf
5.784999999999899,inf
5.789999999999899,inf
5.794999999999899,inf
5.799999999999899,inf
5.8049999999998985,inf
5.809999999999898,inf
5.814999999999898,inf
5.819999999999898,inf
5.824999999999898,inf
5.829999999999898,inf
5.834999999999898,inf
5.839999999999898,inf
5.844999999999898,inf
5.8499999999998975,inf
5.854999999999897,inf
5.859999999999897,inf
5.864999999999897,inf
5.869999999999897,inf
5.874999999999897,inf
5.879999999999897,inf
5.884999999999897,inf
5.889999999999897,inf
5.8949999999998965,inf
5.899999999999896,inf
5.904999999999896,inf
5.909999999999896,inf
5.914999999999896,inf
5.919999999999896,inf
5.924999999999896,inf
5.929999999999896,inf
5.934999999999896,inf
5.939999999999896,inf
5.9449999999998955,inf
5.949999999999895,inf
5.954999999999895,inf
5.959999999999895,inf
5.964999999999895,inf
5.969999999999895,inf
5.974999999999895,inf
5.979999999999895,inf
5.984999999999895,inf
5.9899999999998945,inf
5.994999999999894,inf
5.999999999999894,inf
6.004999999999894,inf
